trial,score,state,duration_s,k,eps,tau,attr_fiedler,attr_var_lambda,attr_mrr_proxy,attr_tau,attr_n_sample,attr_n_probe
10,2.13817662,COMPLETE,40.00823100,38,1.61537646,0.11433991,0.71750165,0.03029924,2.89573900,0.11434000,5000.00000000,200.00000000
12,2.12721701,COMPLETE,39.37941200,40,1.35143396,0.13509770,0.68773852,0.02662411,2.88558800,0.13509800,5000.00000000,200.00000000
11,2.12629467,COMPLETE,39.40348300,38,1.51205570,0.17357788,0.71750165,0.03029924,2.87876500,0.17357800,5000.00000000,200.00000000
9,2.08869633,COMPLETE,38.52480000,22,1.39171834,0.18825578,0.47374545,0.02687059,2.86926200,0.18825600,5000.00000000,200.00000000
18,2.08125493,COMPLETE,53.02908000,29,1.83312471,0.30393556,0.63928692,0.02860922,2.82797400,0.30393600,5000.00000000,200.00000000
8,2.02063558,COMPLETE,37.59239100,20,2.29295805,0.47938019,0.60765829,0.02781229,2.74705200,0.47938000,5000.00000000,200.00000000
16,1.97505686,COMPLETE,56.05967800,29,2.18551039,0.58753625,0.63928692,0.02860922,2.67626300,0.58753600,5000.00000000,200.00000000
19,1.97475535,COMPLETE,43.86154700,34,1.20556654,0.63693742,0.70303723,0.03057214,2.66465900,0.63693700,5000.00000000,200.00000000
14,1.86517101,COMPLETE,42.66647100,33,1.00030332,0.75078039,0.66381394,0.02674905,2.51529800,0.75078000,5000.00000000,200.00000000
13,1.84109981,COMPLETE,40.07595600,40,1.79804337,0.77657332,0.68773852,0.02662411,2.47684900,0.77657300,5000.00000000,200.00000000
2,1.18266402,COMPLETE,53.27378100,5,2.82824061,1.24211852,0.97009083,0.02616983,1.49209300,1.24211900,5000.00000000,200.00000000
0,0.89131481,COMPLETE,41.19679100,17,3.52059936,1.49078849,0.97879444,0.02920610,1.07419800,1.49078800,5000.00000000,200.00000000
17,0.50330937,COMPLETE,41.53057500,40,1.15437278,1.75645950,0.68773852,0.02662411,0.56572000,1.75646000,5000.00000000,200.00000000
1,,PRUNED,31.28030700,25,0.44939958,0.39638959,,,,,,
3,,PRUNED,33.52404800,29,0.31642993,1.94282872,,,,,,
4,,PRUNED,40.20175800,34,0.51998372,0.44546744,,,,,,
5,,PRUNED,37.61102600,9,0.65974353,1.09703722,,,,,,
6,,PRUNED,39.20781300,19,0.63787590,1.26252050,,,,,,
7,,PRUNED,27.60946900,8,0.63939036,0.79608750,,,,,,
15,,PRUNED,29.79093600,34,0.90697733,0.11485799,,,,,,
